timestamp,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,baro_altitude,lidar_min_range,cmd_vx,cmd_vy,cmd_vz,throttle,wind_active,wind_x,wind_y,wind_z,wind_reason,weather,air_density,sensor_noise
2026-01-24T13:58:32.432777,0,0,-0.320976943,0,0,-2.094395089,0,0,-0.013139494,0,0,0,0,0,-9.807807922,0,0,0,123.4879227,2.411861293,0.3,0,-2.5,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:32.542567,0.000156992,-6.05E-06,-0.336819082,0.01043884,0.006173536,-2.094363728,0.00717267,-0.00014397,-0.444280893,0.098546721,0.048839681,-9.17E-05,0.00233531,-0.004511498,-16.27227974,0.098546721,0.048839681,-9.17E-05,123.5565872,2.411861293,0.299973234,1.03E-06,-2.5,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:32.652820,0.001293018,-1.68E-05,-0.385718316,0.0163527,0.009491322,-2.094325765,0.025754191,-0.000139735,-0.914733529,0.064293765,0.03021401,-9.28E-05,0.001490057,-0.00317122,-16.38568497,0.064293765,0.03021401,-9.28E-05,124.1560822,2.415336797,0.299778809,2.87E-06,-2.49999999,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:32.762788,0.004147705,-2.62E-05,-0.472635448,0.019158109,0.011094343,-2.094303693,0.050996874,-9.95E-05,-1.401686192,0.023428636,0.012980699,-7.39E-05,0.000620484,-0.00109373,-16.22076797,0.021539891,0.012511048,-7.31E-05,124.1059036,2.473715575,0.299286226,4.50E-06,-2.499999898,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:32.871951,0.009235776,-3.19E-05,-0.601327777,0.020052052,0.011625475,-2.094298162,0.079633005,-4.48E-05,-1.895426512,0.002752091,0.001964327,-5.45E-05,0.000102043,-0.000145122,-16.03330231,0.002752091,0.001964327,-5.45E-05,123.9342422,2.473715575,0.298396419,5.53E-06,-2.499999486,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:32.980355,0.019275665,-3.30E-05,-0.826457381,0.019633223,0.011372139,-2.094307857,0.116958134,1.91E-05,-2.512733459,-0.009625535,-0.005722052,-3.62E-05,-0.000265837,0.000446767,-15.67792892,-0.009625535,-0.005722052,-3.62E-05,124.4254532,2.473715575,0.296600065,5.82E-06,-2.499997688,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.091556,0.029784583,-3.01E-05,-1.044044971,0.018562292,0.010741566,-2.094322277,0.140645742,4.97E-05,-2.785367966,-0.015442521,-0.008989265,-2.68E-05,-0.000292391,0.000501469,-10.89873981,-0.015442521,-0.008989265,-2.68E-05,124.2062607,2.633766797,0.294664551,5.38E-06,-2.499994307,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.200349,0.040477041,-2.59E-05,-1.246048212,0.017301032,0.010004026,-2.094337608,0.155906394,6.39E-05,-2.81259799,-0.018057672,-0.010595746,-2.11E-05,-0.000310108,0.000527494,-9.765033722,-0.018057672,-0.010595746,-2.11E-05,124.4254532,0.172346526,0.292642684,4.71E-06,-2.499989174,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.315119,0.050173111,-2.19E-05,-1.414562941,0.016122415,0.009318204,-2.094350466,0.167117685,7.12E-05,-2.802458763,-0.019330991,-0.011486223,-1.77E-05,-0.000330552,0.000556044,-9.561410904,-0.019330991,-0.011486223,-1.77E-05,124.6657791,0.172346526,0.290767178,4.02E-06,-2.499982951,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.420350,0.066456124,-1.48E-05,-1.674016476,0.014248326,0.008227088,-2.094368019,0.182711676,7.92E-05,-2.776493073,-0.019894436,-0.011401786,-1.40E-05,-0.000325687,0.00046964,-9.519410133,-0.019894436,-0.011401786,-1.40E-05,124.5205307,0.172346526,0.287532759,2.78E-06,-2.499968913,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.531661,0.082922772,-7.72E-06,-1.914499164,0.012486295,0.007203771,-2.094383179,0.195540935,8.35E-05,-2.751984596,-0.01940649,-0.011115798,-1.15E-05,-0.000317976,0.000426311,-9.536862373,-0.019389503,-0.011105167,-1.14E-05,125.0804138,3.483969119,0.284157827,1.47E-06,-2.499949805,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.641578,0.098578192,-1.12E-06,-2.128352165,0.010959767,0.006317595,-2.094394809,0.205651537,8.56E-05,-2.731565714,-0.017988697,-0.010497632,-9.85E-06,-0.000301674,0.000361055,-9.556242943,-0.017988697,-0.010497632,-9.85E-06,125.7829056,3.483969119,0.28085418,2.17E-07,-2.499926686,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
2026-01-24T13:58:33.751696,0.114329323,5.33E-06,-2.332534552,0.009559123,0.005505398,-2.094403937,0.214173287,8.65E-05,-2.713427305,-0.016976563,-0.009842148,-8.55E-06,-0.000283405,0.000307627,-9.575268745,-0.016976563,-0.009842148,-8.55E-06,125.9941788,4.200835841,0.277437344,-1.05E-06,-2.499898183,1,1,0.3,0,0,applied,clear_constant_wind,1.225,0
